city_id,province_id,name
1,21,Kabupaten Aceh Barat
2,21,Kabupaten Aceh Barat Daya
3,21,Kabupaten Aceh Besar
4,21,Kabupaten Aceh Jaya
5,21,Kabupaten Aceh Selatan
6,21,Kabupaten Aceh Singkil
7,21,Kabupaten Aceh Tamiang
8,21,Kabupaten Aceh Tengah
9,21,Kabupaten Aceh Tenggara
10,21,Kabupaten Aceh Timur
11,21,Kabupaten Aceh Utara
12,32,Kabupaten Agam
13,23,Kabupaten Alor
14,19,Kota Ambon
15,34,Kabupaten Asahan
16,24,Kabupaten Asmat
17,1,Kabupaten Badung
18,13,Kabupaten Balangan
19,15,Kota Balikpapan
20,21,Kota Banda Aceh
21,18,Kota Bandar Lampung
22,9,Kabupaten Bandung
23,9,Kota Bandung
24,9,Kabupaten Bandung Barat
25,29,Kabupaten Banggai
26,29,Kabupaten Banggai Kepulauan
27,2,Kabupaten Bangka
28,2,Kabupaten Bangka Barat
29,2,Kabupaten Bangka Selatan
30,2,Kabupaten Bangka Tengah
31,11,Kabupaten Bangkalan
32,1,Kabupaten Bangli
33,13,Kabupaten Banjar
34,9,Kota Banjar
35,13,Kota Banjarbaru
36,13,Kota Banjarmasin
37,10,Kabupaten Banjarnegara
38,28,Kabupaten Bantaeng
39,5,Kabupaten Bantul
40,33,Kabupaten Banyuasin
41,10,Kabupaten Banyumas
42,11,Kabupaten Banyuwangi
43,13,Kabupaten Barito Kuala
44,14,Kabupaten Barito Selatan
45,14,Kabupaten Barito Timur
46,14,Kabupaten Barito Utara
47,28,Kabupaten Barru
48,17,Kota Batam
49,10,Kabupaten Batang
50,8,Kabupaten Batang Hari
51,11,Kota Batu
52,34,Kabupaten Batu Bara
53,30,Kota Bau-Bau
54,9,Kabupaten Bekasi
55,9,Kota Bekasi
56,2,Kabupaten Belitung
57,2,Kabupaten Belitung Timur
58,23,Kabupaten Belu
59,21,Kabupaten Bener Meriah
60,26,Kabupaten Bengkalis
61,12,Kabupaten Bengkayang
62,4,Kota Bengkulu
63,4,Kabupaten Bengkulu Selatan
64,4,Kabupaten Bengkulu Tengah
65,4,Kabupaten Bengkulu Utara
66,15,Kabupaten Berau
67,24,Kabupaten Biak Numfor
68,22,Kabupaten Bima
69,22,Kota Bima
70,34,Kota Binjai
71,17,Kabupaten Bintan
72,21,Kabupaten Bireuen
73,31,Kota Bitung
74,11,Kabupaten Blitar
75,11,Kota Blitar
76,10,Kabupaten Blora
77,7,Kabupaten Boalemo
78,9,Kabupaten Bogor
79,9,Kota Bogor
80,11,Kabupaten Bojonegoro
81,31,Kabupaten Bolaang Mongondow (Bolmong)
82,31,Kabupaten Bolaang Mongondow Selatan
83,31,Kabupaten Bolaang Mongondow Timur
84,31,Kabupaten Bolaang Mongondow Utara
85,30,Kabupaten Bombana
86,11,Kabupaten Bondowoso
87,28,Kabupaten Bone
88,7,Kabupaten Bone Bolango
89,15,Kota Bontang
90,24,Kabupaten Boven Digoel
91,10,Kabupaten Boyolali
92,10,Kabupaten Brebes
93,32,Kota Bukittinggi
94,1,Kabupaten Buleleng
95,28,Kabupaten Bulukumba
96,16,Kabupaten Bulungan (Bulongan)
97,8,Kabupaten Bungo
98,29,Kabupaten Buol
99,19,Kabupaten Buru
100,19,Kabupaten Buru Selatan
101,30,Kabupaten Buton
102,30,Kabupaten Buton Utara
103,9,Kabupaten Ciamis
104,9,Kabupaten Cianjur
105,10,Kabupaten Cilacap
106,3,Kota Cilegon
107,9,Kota Cimahi
108,9,Kabupaten Cirebon
109,9,Kota Cirebon
110,34,Kabupaten Dairi
111,24,Kabupaten Deiyai (Deliyai)
112,34,Kabupaten Deli Serdang
113,10,Kabupaten Demak
114,1,Kota Denpasar
115,9,Kota Depok
116,32,Kabupaten Dharmasraya
117,24,Kabupaten Dogiyai
118,22,Kabupaten Dompu
119,29,Kabupaten Donggala
120,26,Kota Dumai
121,33,Kabupaten Empat Lawang
122,23,Kabupaten Ende
123,28,Kabupaten Enrekang
124,25,Kabupaten Fakfak
125,23,Kabupaten Flores Timur
126,9,Kabupaten Garut
127,21,Kabupaten Gayo Lues
128,1,Kabupaten Gianyar
129,7,Kabupaten Gorontalo
130,7,Kota Gorontalo
131,7,Kabupaten Gorontalo Utara
132,28,Kabupaten Gowa
133,11,Kabupaten Gresik
134,10,Kabupaten Grobogan
135,5,Kabupaten Gunung Kidul
136,14,Kabupaten Gunung Mas
137,34,Kota Gunungsitoli
138,20,Kabupaten Halmahera Barat
139,20,Kabupaten Halmahera Selatan
140,20,Kabupaten Halmahera Tengah
141,20,Kabupaten Halmahera Timur
142,20,Kabupaten Halmahera Utara
143,13,Kabupaten Hulu Sungai Selatan
144,13,Kabupaten Hulu Sungai Tengah
145,13,Kabupaten Hulu Sungai Utara
146,34,Kabupaten Humbang Hasundutan
147,26,Kabupaten Indragiri Hilir
148,26,Kabupaten Indragiri Hulu
149,9,Kabupaten Indramayu
150,24,Kabupaten Intan Jaya
151,6,Kota Jakarta Barat
152,6,Kota Jakarta Pusat
153,6,Kota Jakarta Selatan
154,6,Kota Jakarta Timur
155,6,Kota Jakarta Utara
156,8,Kota Jambi
157,24,Kabupaten Jayapura
158,24,Kota Jayapura
159,24,Kabupaten Jayawijaya
160,11,Kabupaten Jember
161,1,Kabupaten Jembrana
162,28,Kabupaten Jeneponto
163,10,Kabupaten Jepara
164,11,Kabupaten Jombang
165,25,Kabupaten Kaimana
166,26,Kabupaten Kampar
167,14,Kabupaten Kapuas
168,12,Kabupaten Kapuas Hulu
169,10,Kabupaten Karanganyar
170,1,Kabupaten Karangasem
171,9,Kabupaten Karawang
172,17,Kabupaten Karimun
173,34,Kabupaten Karo
174,14,Kabupaten Katingan
175,4,Kabupaten Kaur
176,12,Kabupaten Kayong Utara
177,10,Kabupaten Kebumen
178,11,Kabupaten Kediri
179,11,Kota Kediri
180,24,Kabupaten Keerom
181,10,Kabupaten Kendal
182,30,Kota Kendari
183,4,Kabupaten Kepahiang
184,17,Kabupaten Kepulauan Anambas
185,19,Kabupaten Kepulauan Aru
186,32,Kabupaten Kepulauan Mentawai
187,26,Kabupaten Kepulauan Meranti
188,31,Kabupaten Kepulauan Sangihe
189,6,Kabupaten Kepulauan Seribu
190,31,Kabupaten Kepulauan Siau Tagulandang Biaro (Sitaro)
